  ** CALCULATED NUMBER DENSITIES (/CM^3) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     1.228E+008
      1.093E+014     2.721E-001     0.000E+000     0.000E+000     7.179E-007     1.221E-008     0.000E+000     5.706E-009     0.000E+000     5.728E-006     1.069E+008
      1.171E+014     4.018E-001     0.000E+000     0.000E+000     7.119E-007     1.221E-008     0.000E+000     5.706E-009     0.000E+000     5.703E-006     9.313E+007
      1.255E+014     4.637E-001     0.000E+000     0.000E+000     7.059E-007     1.221E-008     0.000E+000     5.706E-009     0.000E+000     5.679E-006     8.112E+007
      1.345E+014     4.902E-001     0.000E+000     0.000E+000     6.999E-007     1.221E-008     0.000E+000     5.706E-009     0.000E+000     5.654E-006     7.065E+007
      1.441E+014     4.958E-001     0.000E+000     0.000E+000     6.939E-007     1.221E-008     0.000E+000     5.706E-009     0.000E+000     5.628E-006     6.153E+007
      1.544E+014     4.883E-001     0.000E+000     0.000E+000     6.879E-007     1.221E-008     0.000E+000     5.706E-009     0.000E+000     5.603E-006     5.359E+007
      1.654E+014     4.726E-001     0.000E+000     0.000E+000     6.818E-007     1.221E-008     0.000E+000     5.705E-009     0.000E+000     5.577E-006     4.668E+007
      1.773E+014     4.527E-001     0.000E+000     0.000E+000     6.758E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.551E-006     4.065E+007
      1.899E+014     4.318E-001     0.000E+000     0.000E+000     6.697E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.524E-006     3.541E+007
      2.035E+014     4.117E-001     0.000E+000     0.000E+000     6.637E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.498E-006     3.084E+007
      2.181E+014     3.933E-001     0.000E+000     0.000E+000     6.576E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.471E-006     2.686E+007
      2.337E+014     3.766E-001     0.000E+000     0.000E+000     6.515E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.443E-006     2.339E+007
      2.504E+014     3.614E-001     0.000E+000     0.000E+000     6.455E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.416E-006     2.038E+007
      2.683E+014     3.473E-001     0.000E+000     0.000E+000     6.394E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.388E-006     1.775E+007
      2.875E+014     3.341E-001     0.000E+000     0.000E+000     6.333E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.360E-006     1.546E+007
      3.080E+014     3.213E-001     0.000E+000     0.000E+000     6.273E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.331E-006     1.346E+007
      3.301E+014     3.090E-001     0.000E+000     0.000E+000     6.212E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.303E-006     1.172E+007
      3.537E+014     2.970E-001     0.000E+000     0.000E+000     6.151E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.274E-006     1.021E+007
      3.790E+014     2.851E-001     0.000E+000     0.000E+000     6.091E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.244E-006     8.894E+006
      4.061E+014     2.734E-001     0.000E+000     0.000E+000     6.030E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.215E-006     7.746E+006
      4.351E+014     2.618E-001     0.000E+000     0.000E+000     5.970E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.185E-006     6.747E+006
      4.662E+014     2.503E-001     0.000E+000     0.000E+000     5.910E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.155E-006     5.876E+006
      4.996E+014     2.389E-001     0.000E+000     0.000E+000     5.849E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.125E-006     5.118E+006
      5.353E+014     2.277E-001     0.000E+000     0.000E+000     5.789E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.094E-006     4.458E+006
      5.736E+014     2.168E-001     0.000E+000     0.000E+000     5.729E-007     1.220E-008     0.000E+000     5.705E-009     0.000E+000     5.063E-006     3.882E+006
      6.146E+014     2.064E-001     0.000E+000     0.000E+000     5.669E-007     1.219E-008     0.000E+000     5.705E-009     0.000E+000     5.032E-006     3.381E+006
      6.586E+014     1.964E-001     0.000E+000     0.000E+000     5.609E-007     1.219E-008     0.000E+000     5.705E-009     0.000E+000     5.001E-006     2.945E+006
      7.057E+014     1.870E-001     0.000E+000     0.000E+000     5.549E-007     1.219E-008     0.000E+000     5.705E-009     0.000E+000     4.969E-006     2.565E+006
      7.561E+014     1.780E-001     0.000E+000     0.000E+000     5.489E-007     1.219E-008     0.000E+000     5.705E-009     0.000E+000     4.937E-006     2.234E+006
      8.102E+014     1.696E-001     0.000E+000     0.000E+000     5.430E-007     1.219E-008     0.000E+000     5.705E-009     0.000E+000     4.905E-006     1.946E+006
      8.682E+014     1.616E-001     0.000E+000     0.000E+000     5.370E-007     1.219E-008     0.000E+000     5.705E-009     0.000E+000     4.872E-006     1.695E+006
      9.303E+014     1.539E-001     0.000E+000     0.000E+000     5.311E-007     1.219E-008     0.000E+000     5.705E-009     0.000E+000     4.840E-006     1.476E+006
      9.968E+014     1.467E-001     0.000E+000     0.000E+000     5.251E-007     1.219E-008     0.000E+000     5.705E-009     0.000E+000     4.807E-006     1.286E+006
