  **  PHYSICAL PARAMETERS  **


   RADIUS      n(H2)       TEMP.       A_V         RAD.FIELD   K(ICOR)     K(ICOIP)    K(ICOAP)    DELTA_AUV   T_DUST      NMONO       ALL_ICE     
   1.020E+014  1.444E+009  1.415E+003  3.939E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  3.664E+001  9.767E+002  0.000E+000  0.000E+000
   1.093E+014  1.258E+009  1.348E+003  3.676E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.589E+002  9.767E+002         NaN  0.000E+000
   1.171E+014  1.096E+009  1.284E+003  3.431E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  2.730E+002  9.767E+002         NaN  0.000E+000
   1.255E+014  9.543E+008  1.224E+003  3.202E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  3.795E+002  9.767E+002         NaN  0.000E+000
   1.345E+014  8.312E+008  1.166E+003  2.988E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  4.789E+002  9.767E+002         NaN  0.000E+000
   1.441E+014  7.239E+008  1.111E+003  2.789E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  5.716E+002  9.767E+002         NaN  0.000E+000
   1.544E+014  6.305E+008  1.058E+003  2.603E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  6.582E+002  9.767E+002         NaN  0.000E+000
   1.654E+014  5.491E+008  1.008E+003  2.429E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  7.389E+002  9.767E+002         NaN  0.000E+000
   1.773E+014  4.783E+008  9.608E+002  2.267E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.143E+002  9.767E+002         NaN  0.000E+000
   1.899E+014  4.166E+008  9.154E+002  2.116E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  8.847E+002  9.767E+002         NaN  0.000E+000
   2.035E+014  3.628E+008  8.722E+002  1.974E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  9.503E+002  9.767E+002         NaN  0.000E+000
   2.181E+014  3.160E+008  8.310E+002  1.843E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.012E+003  9.767E+002         NaN  0.000E+000
   2.337E+014  2.752E+008  7.918E+002  1.720E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.069E+003  9.767E+002         NaN  0.000E+000
   2.504E+014  2.397E+008  7.544E+002  1.605E+002  0.000E+000  0.000E+000  0.000E+000  0.000E+000  1.122E+003  9.767E+002         NaN  0.000E+000
   2.683E+014  2.088E+008  7.188E+002  1.498E+002  1.372E-305  0.000E+000  0.000E+000  0.000E+000  1.172E+003  9.767E+002         NaN  0.000E+000
   2.875E+014  1.818E+008  6.849E+002  1.398E+002  2.303E-285  0.000E+000  0.000E+000  0.000E+000  1.218E+003  9.767E+002         NaN  0.000E+000
   3.080E+014  1.584E+008  6.526E+002  1.304E+002  1.727E-266  0.000E+000  0.000E+000  0.000E+000  1.262E+003  9.767E+002         NaN  0.000E+000
   3.301E+014  1.379E+008  6.217E+002  1.217E+002  7.123E-249  0.000E+000  0.000E+000  0.000E+000  1.302E+003  9.767E+002         NaN  0.000E+000
   3.537E+014  1.201E+008  5.924E+002  1.136E+002  1.960E-232  0.000E+000  0.000E+000  0.000E+000  1.340E+003  9.767E+002         NaN  0.000E+000
   3.790E+014  1.046E+008  5.644E+002  1.060E+002  4.310E-217  0.000E+000  0.000E+000  0.000E+000  1.375E+003  9.767E+002         NaN  0.000E+000
   4.061E+014  9.114E+007  5.378E+002  9.895E+001  8.968E-203  0.000E+000  0.000E+000  0.000E+000  1.408E+003  9.767E+002         NaN  0.000E+000
   4.351E+014  7.938E+007  5.124E+002  9.235E+001  2.067E-189  0.000E+000  0.000E+000  0.000E+000  1.439E+003  9.767E+002         NaN  0.000E+000
   4.662E+014  6.913E+007  4.882E+002  8.618E+001  6.108E-177  0.000E+000  0.000E+000  0.000E+000  1.468E+003  9.767E+002         NaN  0.000E+000
   4.996E+014  6.021E+007  4.652E+002  8.043E+001  2.656E-165  0.000E+000  0.000E+000  0.000E+000  1.494E+003  9.767E+002         NaN  0.000E+000
   5.353E+014  5.244E+007  4.432E+002  7.506E+001  1.931E-154  0.000E+000  0.000E+000  0.000E+000  1.519E+003  9.767E+002         NaN  0.000E+000
   5.736E+014  4.568E+007  4.223E+002  7.005E+001  2.644E-144  0.000E+000  0.000E+000  0.000E+000  1.543E+003  9.767E+002         NaN  0.000E+000
   6.146E+014  3.978E+007  4.024E+002  6.538E+001  7.625E-135  0.000E+000  0.000E+000  0.000E+000  1.564E+003  9.767E+002         NaN  0.000E+000
   6.586E+014  3.465E+007  3.834E+002  6.101E+001  5.138E-126  0.000E+000  0.000E+000  0.000E+000  1.585E+003  9.767E+002         NaN  0.000E+000
   7.057E+014  3.018E+007  3.653E+002  5.694E+001  8.914E-118  0.000E+000  0.000E+000  0.000E+000  1.604E+003  9.767E+002         NaN  0.000E+000
   7.561E+014  2.628E+007  3.480E+002  5.314E+001  4.360E-110  0.000E+000  0.000E+000  0.000E+000  1.621E+003  9.767E+002         NaN  0.000E+000
   8.102E+014  2.289E+007  3.316E+002  4.959E+001  6.541E-103  0.000E+000  0.000E+000  0.000E+000  1.638E+003  9.767E+002         NaN  0.000E+000
   8.682E+014  1.994E+007  3.159E+002  4.628E+001  3.257E-096  0.000E+000  0.000E+000  0.000E+000  1.653E+003  9.767E+002         NaN  0.000E+000
