  ** CALCULATED NUMBER DENSITIES (/CM^3) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     1.228E+008
      1.093E+014     8.976E+000     0.000E+000     0.000E+000     5.477E-007     3.758E-009     0.000E+000     5.713E-009     0.000E+000     8.893E-006     1.069E+008
      1.171E+014     5.323E+000     0.000E+000     0.000E+000     5.353E-007     3.754E-009     0.000E+000     5.713E-009     0.000E+000     8.778E-006     9.313E+007
      1.255E+014     3.291E+000     0.000E+000     0.000E+000     5.233E-007     3.753E-009     0.000E+000     5.713E-009     0.000E+000     8.664E-006     8.112E+007
      1.345E+014     2.140E+000     0.000E+000     0.000E+000     5.115E-007     3.753E-009     0.000E+000     5.713E-009     0.000E+000     8.551E-006     7.065E+007
      1.441E+014     1.465E+000     0.000E+000     0.000E+000     5.000E-007     3.753E-009     0.000E+000     5.713E-009     0.000E+000     8.437E-006     6.153E+007
      1.544E+014     1.054E+000     0.000E+000     0.000E+000     4.888E-007     3.753E-009     0.000E+000     5.713E-009     0.000E+000     8.324E-006     5.359E+007
      1.654E+014     7.944E-001     0.000E+000     0.000E+000     4.778E-007     3.753E-009     0.000E+000     5.713E-009     0.000E+000     8.211E-006     4.668E+007
      1.773E+014     6.219E-001     0.000E+000     0.000E+000     4.671E-007     3.753E-009     0.000E+000     5.713E-009     0.000E+000     8.099E-006     4.065E+007
      1.899E+014     5.015E-001     0.000E+000     0.000E+000     4.566E-007     3.753E-009     0.000E+000     5.713E-009     0.000E+000     7.987E-006     3.541E+007
      2.035E+014     4.131E-001     0.000E+000     0.000E+000     4.464E-007     3.753E-009     0.000E+000     5.713E-009     0.000E+000     7.876E-006     3.084E+007
      2.181E+014     3.454E-001     0.000E+000     0.000E+000     4.363E-007     3.752E-009     0.000E+000     5.712E-009     0.000E+000     7.765E-006     2.686E+007
      2.337E+014     2.924E-001     0.000E+000     0.000E+000     4.266E-007     3.752E-009     0.000E+000     5.712E-009     0.000E+000     7.655E-006     2.339E+007
      2.504E+014     2.507E-001     0.000E+000     0.000E+000     4.170E-007     3.752E-009     0.000E+000     5.712E-009     0.000E+000     7.546E-006     2.038E+007
      2.683E+014     2.184E-001     0.000E+000     0.000E+000     4.077E-007     3.752E-009     0.000E+000     5.712E-009     0.000E+000     7.437E-006     1.775E+007
      2.875E+014     1.939E-001     0.000E+000     0.000E+000     3.985E-007     3.752E-009     0.000E+000     5.712E-009     0.000E+000     7.328E-006     1.546E+007
      3.080E+014     1.759E-001     0.000E+000     0.000E+000     3.896E-007     3.752E-009     0.000E+000     5.712E-009     0.000E+000     7.220E-006     1.346E+007
      3.301E+014     1.628E-001     0.000E+000     0.000E+000     3.809E-007     3.752E-009     0.000E+000     5.712E-009     0.000E+000     7.113E-006     1.172E+007
      3.537E+014     1.536E-001     0.000E+000     0.000E+000     3.723E-007     3.752E-009     0.000E+000     5.712E-009     0.000E+000     7.007E-006     1.021E+007
