  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     8.500E-002
      1.093E+014     3.841E-010     0.000E+000     0.000E+000     3.803E-015     6.465E-017     0.000E+000     3.024E-017     0.000E+000     3.035E-014     8.500E-002
      1.171E+014     7.437E-010     0.000E+000     0.000E+000     4.330E-015     7.423E-017     0.000E+000     3.472E-017     0.000E+000     3.470E-014     8.500E-002
      1.255E+014     1.085E-009     0.000E+000     0.000E+000     4.930E-015     8.522E-017     0.000E+000     3.986E-017     0.000E+000     3.967E-014     8.500E-002
      1.345E+014     1.413E-009     0.000E+000     0.000E+000     5.612E-015     9.784E-017     0.000E+000     4.576E-017     0.000E+000     4.534E-014     8.500E-002
      1.441E+014     1.730E-009     0.000E+000     0.000E+000     6.388E-015     1.123E-016     0.000E+000     5.254E-017     0.000E+000     5.183E-014     8.500E-002
      1.544E+014     2.038E-009     0.000E+000     0.000E+000     7.270E-015     1.290E-016     0.000E+000     6.033E-017     0.000E+000     5.924E-014     8.500E-002
      1.654E+014     2.339E-009     0.000E+000     0.000E+000     8.274E-015     1.481E-016     0.000E+000     6.927E-017     0.000E+000     6.770E-014     8.500E-002
      1.773E+014     2.637E-009     0.000E+000     0.000E+000     9.415E-015     1.700E-016     0.000E+000     7.953E-017     0.000E+000     7.736E-014     8.500E-002
      1.899E+014     2.938E-009     0.000E+000     0.000E+000     1.071E-014     1.951E-016     0.000E+000     9.131E-017     0.000E+000     8.840E-014     8.500E-002
      2.035E+014     3.249E-009     0.000E+000     0.000E+000     1.219E-014     2.240E-016     0.000E+000     1.048E-016     0.000E+000     1.010E-013     8.500E-002
      2.181E+014     3.577E-009     0.000E+000     0.000E+000     1.387E-014     2.572E-016     0.000E+000     1.204E-016     0.000E+000     1.154E-013     8.500E-002
      2.337E+014     3.925E-009     0.000E+000     0.000E+000     1.577E-014     2.953E-016     0.000E+000     1.382E-016     0.000E+000     1.318E-013     8.500E-002
