  ** CALCULATED NUMBER DENSITIES (/CM^3) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     1.842E+007
      1.093E+014     3.277E+006     0.000E+000     0.000E+000     1.825E-006     1.912E-009     0.000E+000     5.645E-009     0.000E+000     5.583E-006     1.604E+007
      1.171E+014     2.780E+006     0.000E+000     0.000E+000     1.784E-006     5.274E-008     0.000E+000     5.647E-009     0.000E+000     5.578E-006     1.397E+007
      1.255E+014     2.205E+006     0.000E+000     0.000E+000     1.683E-006     5.557E-007     0.000E+000     5.652E-009     0.000E+000     5.577E-006     1.217E+007
      1.345E+014     1.764E+006     0.000E+000     0.000E+000     1.595E-006     5.659E-007     0.000E+000     5.656E-009     0.000E+000     5.569E-006     1.060E+007
      1.441E+014     1.421E+006     0.000E+000     0.000E+000     1.519E-006     4.716E-007     0.000E+000     5.660E-009     0.000E+000     5.558E-006     9.230E+006
      1.544E+014     1.153E+006     0.000E+000     0.000E+000     1.453E-006     3.913E-007     0.000E+000     5.663E-009     0.000E+000     5.543E-006     8.039E+006
      1.654E+014     9.418E+005     0.000E+000     0.000E+000     1.395E-006     3.248E-007     0.000E+000     5.666E-009     0.000E+000     5.526E-006     7.002E+006
      1.773E+014     7.735E+005     0.000E+000     0.000E+000     1.344E-006     2.695E-007     0.000E+000     5.668E-009     0.000E+000     5.508E-006     6.098E+006
      1.899E+014     6.386E+005     0.000E+000     0.000E+000     1.299E-006     2.238E-007     0.000E+000     5.670E-009     0.000E+000     5.487E-006     5.311E+006
      2.035E+014     5.298E+005     0.000E+000     0.000E+000     1.259E-006     1.858E-007     0.000E+000     5.672E-009     0.000E+000     5.466E-006     4.626E+006
      2.181E+014     4.414E+005     0.000E+000     0.000E+000     1.223E-006     1.543E-007     0.000E+000     5.673E-009     0.000E+000     5.443E-006     4.029E+006
      2.337E+014     3.692E+005     0.000E+000     0.000E+000     1.191E-006     1.281E-007     0.000E+000     5.675E-009     0.000E+000     5.420E-006     3.509E+006
      2.504E+014     3.099E+005     0.000E+000     0.000E+000     1.161E-006     1.064E-007     0.000E+000     5.676E-009     0.000E+000     5.395E-006     3.056E+006
      2.683E+014     2.610E+005     0.000E+000     0.000E+000     1.134E-006     8.842E-008     0.000E+000     5.677E-009     0.000E+000     5.370E-006     2.662E+006
      2.875E+014     2.205E+005     0.000E+000     0.000E+000     1.110E-006     7.347E-008     0.000E+000     5.677E-009     0.000E+000     5.345E-006     2.318E+006
      3.080E+014     1.868E+005     0.000E+000     0.000E+000     1.087E-006     6.107E-008     0.000E+000     5.678E-009     0.000E+000     5.319E-006     2.019E+006
      3.301E+014     1.586E+005     0.000E+000     0.000E+000     1.065E-006     5.078E-008     0.000E+000     5.679E-009     0.000E+000     5.292E-006     1.759E+006
      3.537E+014     1.350E+005     0.000E+000     0.000E+000     1.046E-006     4.223E-008     0.000E+000     5.680E-009     0.000E+000     5.265E-006     1.532E+006
      3.790E+014     1.151E+005     0.000E+000     0.000E+000     1.027E-006     3.513E-008     0.000E+000     5.680E-009     0.000E+000     5.237E-006     1.334E+006
      4.061E+014     9.836E+004     0.000E+000     0.000E+000     1.010E-006     2.924E-008     0.000E+000     5.681E-009     0.000E+000     5.209E-006     1.162E+006
      4.351E+014     8.418E+004     0.000E+000     0.000E+000     9.931E-007     2.434E-008     0.000E+000     5.681E-009     0.000E+000     5.180E-006     1.012E+006
      4.662E+014     7.216E+004     0.000E+000     0.000E+000     9.774E-007     2.027E-008     0.000E+000     5.681E-009     0.000E+000     5.151E-006     8.814E+005
      4.996E+014     6.195E+004     0.000E+000     0.000E+000     9.625E-007     1.689E-008     0.000E+000     5.682E-009     0.000E+000     5.122E-006     7.677E+005
      5.353E+014     5.324E+004     0.000E+000     0.000E+000     9.481E-007     1.408E-008     0.000E+000     5.682E-009     0.000E+000     5.092E-006     6.686E+005
      5.736E+014     4.582E+004     0.000E+000     0.000E+000     9.344E-007     1.174E-008     0.000E+000     5.682E-009     0.000E+000     5.062E-006     5.824E+005
      6.146E+014     3.947E+004     0.000E+000     0.000E+000     9.211E-007     9.797E-009     0.000E+000     5.682E-009     0.000E+000     5.032E-006     5.072E+005
