  **  PHYSICAL PARAMETERS  **


   RADIUS      n(H2)       TEMP.       A_V         RAD.FIELD   K(ICOR)     K(ICOIP)    K(ICOAP)    DELTA_AUV   T_DUST      NMONO       ALL_ICE     
   1.020E+014  2.167E+008  1.415E+003  5.909E+001  3.995E-122  0.000E+000  0.000E+000  0.000E+000  5.495E+000  9.767E+002  0.000E+000  0.000E+000
   1.093E+014  1.887E+008  1.348E+003  5.514E+001  3.812E-114  0.000E+000  0.000E+000  0.000E+000  2.383E+001  9.767E+002         NaN  0.000E+000
   1.171E+014  1.644E+008  1.284E+003  5.146E+001  1.067E-106  0.000E+000  0.000E+000  0.000E+000  4.095E+001  9.767E+002         NaN  0.000E+000
   1.255E+014  1.431E+008  1.224E+003  4.803E+001  9.510E-100  0.000E+000  0.000E+000  0.000E+000  5.692E+001  9.767E+002         NaN  0.000E+000
   1.345E+014  1.247E+008  1.166E+003  4.482E+001  2.913E-093  0.000E+000  0.000E+000  0.000E+000  7.183E+001  9.767E+002         NaN  0.000E+000
   1.441E+014  1.086E+008  1.111E+003  4.183E+001  3.294E-087  0.000E+000  0.000E+000  0.000E+000  8.574E+001  9.767E+002         NaN  0.000E+000
   1.544E+014  9.458E+007  1.058E+003  3.904E+001  1.470E-081  0.000E+000  0.000E+000  0.000E+000  9.872E+001  9.767E+002         NaN  0.000E+000
   1.654E+014  8.237E+007  1.008E+003  3.643E+001  2.754E-076  0.000E+000  0.000E+000  0.000E+000  1.108E+002  9.767E+002         NaN  0.000E+000
   1.773E+014  7.174E+007  9.608E+002  3.400E+001  2.297E-071  0.000E+000  0.000E+000  0.000E+000  1.221E+002  9.767E+002         NaN  0.000E+000
   1.899E+014  6.249E+007  9.154E+002  3.173E+001  9.009E-067  0.000E+000  0.000E+000  0.000E+000  1.327E+002  9.767E+002         NaN  0.000E+000
   2.035E+014  5.442E+007  8.722E+002  2.961E+001  1.748E-062  0.000E+000  0.000E+000  0.000E+000  1.426E+002  9.767E+002         NaN  0.000E+000
   2.181E+014  4.740E+007  8.310E+002  2.764E+001  1.759E-058  0.000E+000  0.000E+000  0.000E+000  1.517E+002  9.767E+002         NaN  0.000E+000
   2.337E+014  4.128E+007  7.918E+002  2.579E+001  9.611E-055  0.000E+000  0.000E+000  0.000E+000  1.603E+002  9.767E+002         NaN  0.000E+000
   2.504E+014  3.596E+007  7.544E+002  2.407E+001  2.971E-051  0.000E+000  0.000E+000  0.000E+000  1.683E+002  9.767E+002         NaN  0.000E+000
   2.683E+014  3.132E+007  7.188E+002  2.246E+001  5.403E-048  0.000E+000  0.000E+000  0.000E+000  1.758E+002  9.767E+002         NaN  0.000E+000
   2.875E+014  2.728E+007  6.849E+002  2.097E+001  5.997E-045  0.000E+000  0.000E+000  0.000E+000  1.828E+002  9.767E+002         NaN  0.000E+000
   3.080E+014  2.376E+007  6.526E+002  1.957E+001  4.203E-042  0.000E+000  0.000E+000  0.000E+000  1.893E+002  9.767E+002         NaN  0.000E+000
   3.301E+014  2.069E+007  6.217E+002  1.826E+001  1.920E-039  0.000E+000  0.000E+000  0.000E+000  1.953E+002  9.767E+002         NaN  0.000E+000
   3.537E+014  1.802E+007  5.924E+002  1.704E+001  5.883E-037  0.000E+000  0.000E+000  0.000E+000  2.010E+002  9.767E+002         NaN  0.000E+000
   3.790E+014  1.570E+007  5.644E+002  1.590E+001  1.243E-034  0.000E+000  0.000E+000  0.000E+000  2.063E+002  9.767E+002         NaN  0.000E+000
   4.061E+014  1.367E+007  5.378E+002  1.484E+001  1.855E-032  0.000E+000  0.000E+000  0.000E+000  2.112E+002  9.767E+002         NaN  0.000E+000
   4.351E+014  1.191E+007  5.124E+002  1.385E+001  2.002E-030  0.000E+000  0.000E+000  0.000E+000  2.158E+002  9.767E+002         NaN  0.000E+000
   4.662E+014  1.037E+007  4.882E+002  1.293E+001  1.596E-028  0.000E+000  0.000E+000  0.000E+000  2.201E+002  9.767E+002         NaN  0.000E+000
   4.996E+014  9.032E+006  4.652E+002  1.206E+001  9.576E-027  0.000E+000  0.000E+000  0.000E+000  2.242E+002  9.767E+002         NaN  0.000E+000
   5.353E+014  7.866E+006  4.432E+002  1.126E+001  4.407E-025  0.000E+000  0.000E+000  0.000E+000  2.279E+002  9.767E+002         NaN  0.000E+000
   5.736E+014  6.851E+006  4.223E+002  1.051E+001  1.582E-023  0.000E+000  0.000E+000  0.000E+000  2.314E+002  9.767E+002         NaN  0.000E+000
   6.146E+014  5.967E+006  4.024E+002  9.806E+000  4.497E-022  0.000E+000  0.000E+000  0.000E+000  2.347E+002  9.767E+002         NaN  0.000E+000
   6.586E+014  5.197E+006  3.834E+002  9.152E+000  1.028E-020  0.000E+000  0.000E+000  0.000E+000  2.377E+002  9.767E+002         NaN  0.000E+000
   7.057E+014  4.527E+006  3.653E+002  8.541E+000  1.916E-019  0.000E+000  0.000E+000  0.000E+000  2.405E+002  9.767E+002         NaN  0.000E+000
   7.561E+014  3.943E+006  3.480E+002  7.971E+000  2.948E-018  0.000E+000  0.000E+000  0.000E+000  2.432E+002  9.767E+002         NaN  0.000E+000
   8.102E+014  3.434E+006  3.316E+002  7.439E+000  3.792E-017  0.000E+000  0.000E+000  0.000E+000  2.457E+002  9.767E+002         NaN  0.000E+000
   8.682E+014  2.991E+006  3.159E+002  6.942E+000  4.126E-016  0.000E+000  0.000E+000  0.000E+000  2.480E+002  9.767E+002         NaN  0.000E+000
   9.303E+014  2.605E+006  3.010E+002  6.479E+000  3.837E-015  0.000E+000  0.000E+000  0.000E+000  2.501E+002  9.767E+002         NaN  0.000E+000
   9.968E+014  2.269E+006  2.868E+002  6.047E+000  3.082E-014  0.000E+000  0.000E+000  0.000E+000  2.521E+002  9.767E+002         NaN  0.000E+000
   1.068E+015  1.976E+006  2.733E+002  5.643E+000  2.159E-013  0.000E+000  0.000E+000  0.000E+000  2.540E+002  9.767E+002         NaN  0.000E+000
   1.144E+015  1.721E+006  2.604E+002  5.266E+000  1.331E-012  0.000E+000  0.000E+000  0.000E+000  2.558E+002  9.767E+002         NaN  0.000E+000
   1.226E+015  1.499E+006  2.481E+002  4.915E+000  7.278E-012  0.000E+000  0.000E+000  0.000E+000  2.574E+002  9.767E+002         NaN  0.000E+000
   1.314E+015  1.306E+006  2.364E+002  4.587E+000  3.562E-011  0.000E+000  0.000E+000  0.000E+000  2.589E+002  9.767E+002         NaN  0.000E+000
   1.408E+015  1.137E+006  2.252E+002  4.281E+000  1.571E-010  0.000E+000  0.000E+000  0.000E+000  2.604E+002  9.767E+002         NaN  0.000E+000
   1.509E+015  9.903E+005  2.146E+002  3.995E+000  6.294E-010  0.000E+000  0.000E+000  0.000E+000  2.617E+002  9.767E+002         NaN  0.000E+000
   1.617E+015  8.625E+005  2.045E+002  3.728E+000  2.304E-009  8.176E-022  0.000E+000  0.000E+000  2.629E+002  9.767E+002         NaN  0.000E+000
   1.732E+015  7.512E+005  1.948E+002  3.479E+000  7.759E-009  3.189E-021  0.000E+000  0.000E+000  2.641E+002  9.767E+002         NaN  0.000E+000
   1.856E+015  6.543E+005  1.856E+002  3.247E+000  2.417E-008  8.316E-021  0.000E+000  0.000E+000  2.652E+002  9.767E+002         NaN  0.000E+000
   1.989E+015  5.699E+005  1.769E+002  3.030E+000  7.003E-008  2.230E-020  0.000E+000  0.000E+000  2.662E+002  9.767E+002         NaN  0.000E+000
   2.131E+015  4.963E+005  1.685E+002  2.828E+000  1.897E-007  6.102E-020  0.000E+000  0.000E+000  2.671E+002  9.767E+002         NaN  0.000E+000
   2.283E+015  4.323E+005  1.606E+002  2.639E+000  4.826E-007  1.844E-019  0.000E+000  0.000E+000  2.680E+002  9.767E+002         NaN  0.000E+000
   2.447E+015  3.765E+005  1.530E+002  2.463E+000  1.158E-006  4.523E-019  0.000E+000  0.000E+000  2.688E+002  9.767E+002         NaN  0.000E+000
   2.622E+015  3.279E+005  1.458E+002  2.299E+000  2.632E-006  9.252E-019  0.000E+000  0.000E+000  2.696E+002  9.767E+002         NaN  0.000E+000
   2.809E+015  2.856E+005  1.389E+002  2.145E+000  5.683E-006  2.007E-018  0.000E+000  0.000E+000  2.703E+002  9.767E+002         NaN  0.000E+000
   3.010E+015  2.488E+005  1.323E+002  2.002E+000  1.170E-005  4.438E-018  0.000E+000  0.000E+000  2.709E+002  9.767E+002         NaN  0.000E+000
   3.226E+015  2.167E+005  1.261E+002  1.869E+000  2.305E-005  8.940E-018  0.000E+000  0.000E+000  2.716E+002  9.767E+002         NaN  0.000E+000
   3.456E+015  1.887E+005  1.201E+002  1.744E+000  4.354E-005  1.656E-017  0.000E+000  0.000E+000  2.721E+002  9.767E+002         NaN  0.000E+000
   3.703E+015  1.644E+005  1.144E+002  1.627E+000  7.910E-005  3.089E-017  0.000E+000  0.000E+000  2.727E+002  9.767E+002         NaN  0.000E+000
   3.968E+015  1.431E+005  1.090E+002  1.519E+000  1.385E-004  5.886E-017  0.000E+000  0.000E+000  2.732E+002  9.767E+002         NaN  0.000E+000
   4.252E+015  1.247E+005  1.039E+002  1.417E+000  2.343E-004  1.040E-016  0.000E+000  0.000E+000  2.737E+002  9.767E+002         NaN  0.000E+000
   4.556E+015  1.086E+005  9.900E+001  1.323E+000  3.839E-004  1.843E-016  0.000E+000  0.000E+000  2.741E+002  9.767E+002         NaN  0.000E+000
   4.882E+015  9.458E+004  9.432E+001  1.235E+000  6.101E-004  2.978E-016  0.000E+000  0.000E+000  2.745E+002  9.767E+002         NaN  0.000E+000
   5.231E+015  8.237E+004  8.987E+001  1.152E+000  9.425E-004  5.224E-016  0.000E+000  0.000E+000  2.749E+002  9.767E+002         NaN  0.000E+000
   5.605E+015  7.174E+004  8.563E+001  1.075E+000  1.418E-003  8.045E-016  0.000E+000  0.000E+000  2.753E+002  9.767E+002         NaN  0.000E+000
   6.006E+015  6.249E+004  8.159E+001  1.003E+000  2.080E-003  1.299E-015  0.000E+000  0.000E+000  2.756E+002  9.767E+002         NaN  0.000E+000
   6.436E+015  5.442E+004  7.773E+001  9.365E-001  2.982E-003  1.876E-015  0.000E+000  0.000E+000  2.759E+002  9.767E+002         NaN  0.000E+000
   6.896E+015  4.740E+004  7.407E+001  8.740E-001  4.182E-003  2.885E-015  0.000E+000  0.000E+000  2.762E+002  9.767E+002         NaN  0.000E+000
   7.389E+015  4.128E+004  7.057E+001  8.157E-001  5.746E-003  4.221E-015  0.000E+000  0.000E+000  2.765E+002  9.767E+002         NaN  0.000E+000
   7.918E+015  3.596E+004  6.724E+001  7.612E-001  7.747E-003  5.931E-015  0.000E+000  0.000E+000  2.767E+002  9.767E+002         NaN  0.000E+000
   8.484E+015  3.132E+004  6.406E+001  7.104E-001  1.026E-002  8.452E-015  0.000E+000  0.000E+000  2.770E+002  9.767E+002         NaN  0.000E+000
   9.091E+015  2.728E+004  6.104E+001  6.630E-001  1.337E-002  1.189E-014  0.000E+000  0.000E+000  2.772E+002  9.767E+002         NaN  0.000E+000
   9.741E+015  2.376E+004  5.816E+001  6.187E-001  1.714E-002  1.667E-014  0.000E+000  0.000E+000  2.774E+002  9.767E+002         NaN  0.000E+000
   1.044E+016  2.069E+004  5.541E+001  5.774E-001  2.166E-002  2.226E-014  0.000E+000  0.000E+000  2.776E+002  9.767E+002         NaN  0.000E+000
   1.118E+016  1.802E+004  5.280E+001  5.389E-001  2.701E-002  2.956E-014  0.000E+000  0.000E+000  2.778E+002  9.767E+002         NaN  0.000E+000
   1.198E+016  1.570E+004  5.031E+001  5.029E-001  3.325E-002  3.922E-014  0.000E+000  0.000E+000  2.779E+002  9.767E+002         NaN  0.000E+000
   1.284E+016  1.367E+004  4.793E+001  4.694E-001  4.043E-002  5.155E-014  0.000E+000  0.000E+000  2.781E+002  9.767E+002         NaN  0.000E+000
   1.376E+016  1.191E+004  4.567E+001  4.380E-001  4.862E-002  6.566E-014  0.000E+000  0.000E+000  2.782E+002  9.767E+002         NaN  0.000E+000
   1.474E+016  1.037E+004  4.351E+001  4.088E-001  5.785E-002  8.354E-014  0.000E+000  0.000E+000  2.784E+002  9.767E+002         NaN  0.000E+000
   1.580E+016  9.032E+003  4.146E+001  3.815E-001  6.815E-002  1.066E-013  0.000E+000  0.000E+000  2.785E+002  9.767E+002         NaN  0.000E+000
   1.693E+016  7.866E+003  3.950E+001  3.560E-001  7.953E-002  1.314E-013  0.000E+000  0.000E+000  2.786E+002  9.767E+002         NaN  0.000E+000
   1.814E+016  6.851E+003  3.764E+001  3.323E-001  9.198E-002  1.642E-013  0.000E+000  0.000E+000  2.787E+002  9.767E+002         NaN  0.000E+000
   1.944E+016  5.967E+003  3.586E+001  3.101E-001  1.055E-001  2.005E-013  0.000E+000  0.000E+000  2.788E+002  9.767E+002         NaN  0.000E+000
   2.083E+016  5.197E+003  3.417E+001  2.894E-001  1.201E-001  2.453E-013  0.000E+000  0.000E+000  2.789E+002  9.767E+002         NaN  0.000E+000
   2.232E+016  4.527E+003  3.255E+001  2.701E-001  1.356E-001  2.974E-013  0.000E+000  0.000E+000  2.790E+002  9.767E+002         NaN  0.000E+000
   2.391E+016  3.943E+003  3.102E+001  2.521E-001  1.521E-001  3.564E-013  0.000E+000  0.000E+000  2.791E+002  9.767E+002         NaN  0.000E+000
   2.562E+016  3.434E+003  2.955E+001  2.352E-001  1.695E-001  4.274E-013  0.000E+000  0.000E+000  2.792E+002  9.767E+002         NaN  0.000E+000
   2.745E+016  2.991E+003  2.816E+001  2.195E-001  1.877E-001  5.059E-013  0.000E+000  0.000E+000  2.792E+002  9.767E+002         NaN  0.000E+000
