  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     8.500E-002
      1.093E+014     8.797E-009     0.000E+000     0.000E+000     2.902E-015     1.988E-017     0.000E+000     3.028E-017     0.000E+000     4.712E-014     8.500E-002
      1.171E+014     8.126E-009     0.000E+000     0.000E+000     3.256E-015     2.283E-017     0.000E+000     3.476E-017     0.000E+000     5.341E-014     8.500E-002
      1.255E+014     7.586E-009     0.000E+000     0.000E+000     3.655E-015     2.621E-017     0.000E+000     3.991E-017     0.000E+000     6.052E-014     8.500E-002
      1.345E+014     7.149E-009     0.000E+000     0.000E+000     4.102E-015     3.009E-017     0.000E+000     4.583E-017     0.000E+000     6.858E-014     8.500E-002
      1.441E+014     6.793E-009     0.000E+000     0.000E+000     4.604E-015     3.455E-017     0.000E+000     5.261E-017     0.000E+000     7.769E-014     8.500E-002
      1.544E+014     6.499E-009     0.000E+000     0.000E+000     5.167E-015     3.967E-017     0.000E+000     6.041E-017     0.000E+000     8.800E-014     8.500E-002
      1.654E+014     6.252E-009     0.000E+000     0.000E+000     5.799E-015     4.555E-017     0.000E+000     6.936E-017     0.000E+000     9.967E-014     8.500E-002
      1.773E+014     6.039E-009     0.000E+000     0.000E+000     6.508E-015     5.229E-017     0.000E+000     7.963E-017     0.000E+000     1.129E-013     8.500E-002
      1.899E+014     5.852E-009     0.000E+000     0.000E+000     7.305E-015     6.004E-017     0.000E+000     9.142E-017     0.000E+000     1.278E-013     8.500E-002
      2.035E+014     5.691E-009     0.000E+000     0.000E+000     8.199E-015     6.893E-017     0.000E+000     1.050E-016     0.000E+000     1.447E-013     8.500E-002
      2.181E+014     5.557E-009     0.000E+000     0.000E+000     9.202E-015     7.914E-017     0.000E+000     1.205E-016     0.000E+000     1.638E-013     8.500E-002
      2.337E+014     5.458E-009     0.000E+000     0.000E+000     1.033E-014     9.086E-017     0.000E+000     1.384E-016     0.000E+000     1.854E-013     8.500E-002
      2.504E+014     5.400E-009     0.000E+000     0.000E+000     1.159E-014     1.043E-016     0.000E+000     1.589E-016     0.000E+000     2.098E-013     8.500E-002
      2.683E+014     5.391E-009     0.000E+000     0.000E+000     1.301E-014     1.198E-016     0.000E+000     1.824E-016     0.000E+000     2.374E-013     8.500E-002
      2.875E+014     5.436E-009     0.000E+000     0.000E+000     1.460E-014     1.375E-016     0.000E+000     2.094E-016     0.000E+000     2.686E-013     8.500E-002
      3.080E+014     5.535E-009     0.000E+000     0.000E+000     1.639E-014     1.579E-016     0.000E+000     2.404E-016     0.000E+000     3.039E-013     8.500E-002
      3.301E+014     5.690E-009     0.000E+000     0.000E+000     1.840E-014     1.813E-016     0.000E+000     2.761E-016     0.000E+000     3.437E-013     8.500E-002
      3.537E+014     5.899E-009     0.000E+000     0.000E+000     2.065E-014     2.081E-016     0.000E+000     3.169E-016     0.000E+000     3.887E-013     8.500E-002
      3.790E+014     6.159E-009     0.000E+000     0.000E+000     2.318E-014     2.389E-016     0.000E+000     3.639E-016     0.000E+000     4.395E-013     8.500E-002
      4.061E+014     6.469E-009     0.000E+000     0.000E+000     2.602E-014     2.743E-016     0.000E+000     4.178E-016     0.000E+000     4.970E-013     8.500E-002
      4.351E+014     6.826E-009     0.000E+000     0.000E+000     2.920E-014     3.149E-016     0.000E+000     4.797E-016     0.000E+000     5.618E-013     8.500E-002
      4.662E+014     7.229E-009     0.000E+000     0.000E+000     3.278E-014     3.616E-016     0.000E+000     5.507E-016     0.000E+000     6.351E-013     8.500E-002
      4.996E+014     7.676E-009     0.000E+000     0.000E+000     3.679E-014     4.151E-016     0.000E+000     6.323E-016     0.000E+000     7.178E-013     8.500E-002
      5.353E+014     8.170E-009     0.000E+000     0.000E+000     4.129E-014     4.766E-016     0.000E+000     7.260E-016     0.000E+000     8.112E-013     8.500E-002
      5.736E+014     8.710E-009     0.000E+000     0.000E+000     4.635E-014     5.471E-016     0.000E+000     8.335E-016     0.000E+000     9.166E-013     8.500E-002
      6.146E+014     9.301E-009     0.000E+000     0.000E+000     5.202E-014     6.281E-016     0.000E+000     9.570E-016     0.000E+000     1.036E-012     8.500E-002
      6.586E+014     9.944E-009     0.000E+000     0.000E+000     5.839E-014     7.211E-016     0.000E+000     1.099E-015     0.000E+000     1.170E-012     8.500E-002
      7.057E+014     1.064E-008     0.000E+000     0.000E+000     6.553E-014     8.279E-016     0.000E+000     1.261E-015     0.000E+000     1.321E-012     8.500E-002
      7.561E+014     1.140E-008     0.000E+000     0.000E+000     7.355E-014     9.504E-016     0.000E+000     1.448E-015     0.000E+000     1.492E-012     8.500E-002
      8.102E+014     1.222E-008     0.000E+000     0.000E+000     8.256E-014     1.091E-015     0.000E+000     1.663E-015     0.000E+000     1.685E-012     8.500E-002
      8.682E+014     1.310E-008     0.000E+000     0.000E+000     9.266E-014     1.253E-015     0.000E+000     1.909E-015     0.000E+000     1.903E-012     8.500E-002
      9.303E+014     1.405E-008     0.000E+000     0.000E+000     1.040E-013     1.438E-015     0.000E+000     2.192E-015     0.000E+000     2.149E-012     8.500E-002
      9.968E+014     1.506E-008     0.000E+000     0.000E+000     1.167E-013     1.651E-015     0.000E+000     2.517E-015     0.000E+000     2.425E-012     8.500E-002
      1.068E+015     1.615E-008     0.000E+000     0.000E+000     1.310E-013     1.895E-015     0.000E+000     2.889E-015     0.000E+000     2.738E-012     8.500E-002
      1.144E+015     1.731E-008     0.000E+000     0.000E+000     1.470E-013     2.176E-015     0.000E+000     3.317E-015     0.000E+000     3.090E-012     8.500E-002
      1.226E+015     1.855E-008     0.000E+000     0.000E+000     1.650E-013     2.497E-015     0.000E+000     3.809E-015     0.000E+000     3.487E-012     8.500E-002
      1.314E+015     1.989E-008     0.000E+000     0.000E+000     1.852E-013     2.867E-015     0.000E+000     4.373E-015     0.000E+000     3.934E-012     8.500E-002
      1.408E+015     2.131E-008     0.000E+000     0.000E+000     2.078E-013     3.291E-015     0.000E+000     5.021E-015     0.000E+000     4.439E-012     8.500E-002
      1.509E+015     2.284E-008     0.000E+000     0.000E+000     2.333E-013     3.778E-015     0.000E+000     5.764E-015     0.000E+000     5.007E-012     8.500E-002
      1.617E+015     2.448E-008     0.000E+000     0.000E+000     2.618E-013     4.336E-015     0.000E+000     6.618E-015     0.000E+000     5.648E-012     8.500E-002
      1.732E+015     2.624E-008     0.000E+000     0.000E+000     2.938E-013     4.978E-015     0.000E+000     7.598E-015     0.000E+000     6.370E-012     8.500E-002
      1.856E+015     2.814E-008     0.000E+000     0.000E+000     3.297E-013     5.713E-015     0.000E+000     8.723E-015     0.000E+000     7.184E-012     8.500E-002
      1.989E+015     3.018E-008     0.000E+000     0.000E+000     3.700E-013     6.558E-015     0.000E+000     1.002E-014     0.000E+000     8.100E-012     8.500E-002
