  ** CALCULATED NUMBER DENSITIES (/CM^3) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     1.842E+007
      1.093E+014     1.660E+000     0.000E+000     0.000E+000     5.475E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     8.892E-006     1.604E+007
      1.171E+014     1.335E+000     0.000E+000     0.000E+000     5.352E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     8.778E-006     1.397E+007
      1.255E+014     1.086E+000     0.000E+000     0.000E+000     5.232E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     8.663E-006     1.217E+007
      1.345E+014     8.913E-001     0.000E+000     0.000E+000     5.114E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     8.550E-006     1.060E+007
      1.441E+014     7.377E-001     0.000E+000     0.000E+000     4.999E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     8.436E-006     9.230E+006
      1.544E+014     6.147E-001     0.000E+000     0.000E+000     4.887E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     8.323E-006     8.039E+006
      1.654E+014     5.150E-001     0.000E+000     0.000E+000     4.777E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     8.210E-006     7.002E+006
      1.773E+014     4.332E-001     0.000E+000     0.000E+000     4.669E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     8.098E-006     6.098E+006
      1.899E+014     3.657E-001     0.000E+000     0.000E+000     4.564E-007     3.752E-009     0.000E+000     5.713E-009     0.000E+000     7.986E-006     5.311E+006
      2.035E+014     3.097E-001     0.000E+000     0.000E+000     4.462E-007     3.751E-009     0.000E+000     5.713E-009     0.000E+000     7.875E-006     4.626E+006
      2.181E+014     2.634E-001     0.000E+000     0.000E+000     4.362E-007     3.751E-009     0.000E+000     5.712E-009     0.000E+000     7.764E-006     4.029E+006
      2.337E+014     2.253E-001     0.000E+000     0.000E+000     4.264E-007     3.751E-009     0.000E+000     5.712E-009     0.000E+000     7.654E-006     3.509E+006
      2.504E+014     1.942E-001     0.000E+000     0.000E+000     4.168E-007     3.751E-009     0.000E+000     5.712E-009     0.000E+000     7.544E-006     3.056E+006
      2.683E+014     1.688E-001     0.000E+000     0.000E+000     4.075E-007     3.751E-009     0.000E+000     5.712E-009     0.000E+000     7.435E-006     2.662E+006
      2.875E+014     1.483E-001     0.000E+000     0.000E+000     3.983E-007     3.751E-009     0.000E+000     5.712E-009     0.000E+000     7.326E-006     2.318E+006
      3.080E+014     1.315E-001     0.000E+000     0.000E+000     3.894E-007     3.751E-009     0.000E+000     5.712E-009     0.000E+000     7.218E-006     2.019E+006
      3.301E+014     1.177E-001     0.000E+000     0.000E+000     3.807E-007     3.750E-009     0.000E+000     5.712E-009     0.000E+000     7.111E-006     1.759E+006
      3.537E+014     1.063E-001     0.000E+000     0.000E+000     3.721E-007     3.750E-009     0.000E+000     5.712E-009     0.000E+000     7.005E-006     1.532E+006
      3.790E+014     9.667E-002     0.000E+000     0.000E+000     3.638E-007     3.750E-009     0.000E+000     5.712E-009     0.000E+000     6.899E-006     1.334E+006
      4.061E+014     8.844E-002     0.000E+000     0.000E+000     3.556E-007     3.750E-009     0.000E+000     5.711E-009     0.000E+000     6.794E-006     1.162E+006
