  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     8.500E-002
      1.093E+014     4.058E-002     0.000E+000     0.000E+000     1.843E-010     1.309E-017     0.000E+000     1.474E-016     0.000E+000     9.125E-014     8.500E-002
      1.171E+014     4.956E-002     0.000E+000     0.000E+000     3.717E-012     1.809E-017     0.000E+000     1.682E-016     0.000E+000     1.249E-013     8.500E-002
      1.255E+014     4.930E-002     0.000E+000     0.000E+000     1.775E-013     1.269E-017     0.000E+000     1.932E-016     0.000E+000     1.668E-013     8.500E-002
      1.345E+014     4.793E-002     0.000E+000     0.000E+000     1.381E-013     7.745E-018     0.000E+000     2.220E-016     0.000E+000     2.047E-013     8.500E-002
      1.441E+014     4.655E-002     0.000E+000     0.000E+000     1.489E-013     5.681E-018     0.000E+000     2.552E-016     0.000E+000     2.413E-013     8.500E-002
      1.544E+014     4.528E-002     0.000E+000     0.000E+000     1.631E-013     5.419E-018     0.000E+000     2.932E-016     0.000E+000     2.802E-013     8.500E-002
      1.654E+014     4.414E-002     0.000E+000     0.000E+000     1.801E-013     6.306E-018     0.000E+000     3.369E-016     0.000E+000     3.232E-013     8.500E-002
      1.773E+014     4.312E-002     0.000E+000     0.000E+000     2.000E-013     8.172E-018     0.000E+000     3.871E-016     0.000E+000     3.717E-013     8.500E-002
      1.899E+014     4.221E-002     0.000E+000     0.000E+000     2.231E-013     1.111E-017     0.000E+000     4.447E-016     0.000E+000     4.265E-013     8.500E-002
      2.035E+014     4.140E-002     0.000E+000     0.000E+000     2.496E-013     1.536E-017     0.000E+000     5.109E-016     0.000E+000     4.889E-013     8.500E-002
      2.181E+014     4.067E-002     0.000E+000     0.000E+000     2.799E-013     2.123E-017     0.000E+000     5.868E-016     0.000E+000     5.600E-013     8.500E-002
      2.337E+014     4.002E-002     0.000E+000     0.000E+000     3.145E-013     2.907E-017     0.000E+000     6.740E-016     0.000E+000     6.411E-013     8.500E-002
      2.504E+014     3.944E-002     0.000E+000     0.000E+000     3.539E-013     3.925E-017     0.000E+000     7.742E-016     0.000E+000     7.336E-013     8.500E-002
      2.683E+014     3.891E-002     0.000E+000     0.000E+000     3.987E-013     5.217E-017     0.000E+000     8.892E-016     0.000E+000     8.392E-013     8.500E-002
      2.875E+014     3.844E-002     0.000E+000     0.000E+000     4.497E-013     6.815E-017     0.000E+000     1.021E-015     0.000E+000     9.596E-013     8.500E-002
      3.080E+014     3.801E-002     0.000E+000     0.000E+000     5.076E-013     8.751E-017     0.000E+000     1.173E-015     0.000E+000     1.097E-012     8.500E-002
      3.301E+014     3.763E-002     0.000E+000     0.000E+000     5.735E-013     1.104E-016     0.000E+000     1.347E-015     0.000E+000     1.254E-012     8.500E-002
      3.537E+014     3.728E-002     0.000E+000     0.000E+000     6.483E-013     1.370E-016     0.000E+000     1.547E-015     0.000E+000     1.433E-012     8.500E-002
      3.790E+014     3.697E-002     0.000E+000     0.000E+000     7.334E-013     1.672E-016     0.000E+000     1.776E-015     0.000E+000     1.638E-012     8.500E-002
      4.061E+014     3.669E-002     0.000E+000     0.000E+000     8.301E-013     2.007E-016     0.000E+000     2.040E-015     0.000E+000     1.871E-012     8.500E-002
      4.351E+014     3.643E-002     0.000E+000     0.000E+000     9.401E-013     2.373E-016     0.000E+000     2.342E-015     0.000E+000     2.137E-012     8.500E-002
      4.662E+014     3.620E-002     0.000E+000     0.000E+000     1.065E-012     2.762E-016     0.000E+000     2.690E-015     0.000E+000     2.440E-012     8.500E-002
      4.996E+014     3.599E-002     0.000E+000     0.000E+000     1.207E-012     3.168E-016     0.000E+000     3.089E-015     0.000E+000     2.787E-012     8.500E-002
      5.353E+014     3.580E-002     0.000E+000     0.000E+000     1.369E-012     3.585E-016     0.000E+000     3.547E-015     0.000E+000     3.182E-012     8.500E-002
      5.736E+014     3.563E-002     0.000E+000     0.000E+000     1.552E-012     4.004E-016     0.000E+000     4.073E-015     0.000E+000     3.632E-012     8.500E-002
      6.146E+014     3.548E-002     0.000E+000     0.000E+000     1.761E-012     4.417E-016     0.000E+000     4.677E-015     0.000E+000     4.146E-012     8.500E-002
      6.586E+014     3.533E-002     0.000E+000     0.000E+000     1.998E-012     4.819E-016     0.000E+000     5.370E-015     0.000E+000     4.731E-012     8.500E-002
      7.057E+014     3.521E-002     0.000E+000     0.000E+000     2.267E-012     5.204E-016     0.000E+000     6.166E-015     0.000E+000     5.399E-012     8.500E-002
      7.561E+014     3.509E-002     0.000E+000     0.000E+000     2.573E-012     5.571E-016     0.000E+000     7.080E-015     0.000E+000     6.160E-012     8.500E-002
      8.102E+014     3.498E-002     0.000E+000     0.000E+000     2.921E-012     5.920E-016     0.000E+000     8.130E-015     0.000E+000     7.028E-012     8.500E-002
      8.682E+014     3.489E-002     0.000E+000     0.000E+000     3.317E-012     6.259E-016     0.000E+000     9.335E-015     0.000E+000     8.017E-012     8.500E-002
      9.303E+014     3.480E-002     0.000E+000     0.000E+000     3.767E-012     6.601E-016     0.000E+000     1.072E-014     0.000E+000     9.144E-012     8.500E-002
      9.968E+014     3.472E-002     0.000E+000     0.000E+000     4.278E-012     6.967E-016     0.000E+000     1.231E-014     0.000E+000     1.043E-011     8.500E-002
      1.068E+015     3.465E-002     0.000E+000     0.000E+000     4.859E-012     7.392E-016     0.000E+000     1.413E-014     0.000E+000     1.189E-011     8.500E-002
      1.144E+015     3.458E-002     0.000E+000     0.000E+000     5.520E-012     7.922E-016     0.000E+000     1.622E-014     0.000E+000     1.356E-011     8.500E-002
      1.226E+015     3.452E-002     0.000E+000     0.000E+000     6.273E-012     8.625E-016     0.000E+000     1.863E-014     0.000E+000     1.545E-011     8.500E-002
      1.314E+015     3.447E-002     0.000E+000     0.000E+000     7.130E-012     9.586E-016     0.000E+000     2.139E-014     0.000E+000     1.761E-011     8.500E-002
      1.408E+015     3.442E-002     0.000E+000     0.000E+000     8.108E-012     1.092E-015     0.000E+000     2.456E-014     0.000E+000     2.006E-011     8.500E-002
      1.509E+015     3.438E-002     0.000E+000     0.000E+000     9.224E-012     1.275E-015     0.000E+000     2.820E-014     0.000E+000     2.286E-011     8.500E-002
      1.617E+015     3.434E-002     0.000E+000     0.000E+000     1.050E-011     1.526E-015     0.000E+000     3.238E-014     0.000E+000     2.603E-011     8.500E-002
      1.732E+015     3.430E-002     0.000E+000     0.000E+000     1.197E-011     1.863E-015     0.000E+000     3.717E-014     0.000E+000     2.963E-011     8.500E-002
      1.856E+015     3.427E-002     0.000E+000     0.000E+000     1.366E-011     2.310E-015     0.000E+000     4.268E-014     0.000E+000     3.373E-011     8.500E-002
      1.989E+015     3.424E-002     0.000E+000     0.000E+000     1.562E-011     2.894E-015     0.000E+000     4.901E-014     0.000E+000     3.837E-011     8.500E-002
      2.131E+015     3.421E-002     0.000E+000     0.000E+000     1.789E-011     3.651E-015     0.000E+000     5.627E-014     0.000E+000     4.364E-011     8.500E-002
      2.283E+015     3.418E-002     0.000E+000     0.000E+000     2.055E-011     4.619E-015     0.000E+000     6.460E-014     0.000E+000     4.961E-011     8.500E-002
      2.447E+015     3.416E-002     0.000E+000     0.000E+000     2.369E-011     5.854E-015     0.000E+000     7.418E-014     0.000E+000     5.637E-011     8.500E-002
      2.622E+015     3.414E-002     0.000E+000     0.000E+000     2.743E-011     7.419E-015     0.000E+000     8.516E-014     0.000E+000     6.401E-011     8.500E-002
      2.809E+015     3.412E-002     0.000E+000     0.000E+000     3.192E-011     9.400E-015     0.000E+000     9.778E-014     0.000E+000     7.263E-011     8.500E-002
      3.010E+015     3.411E-002     0.000E+000     0.000E+000     3.737E-011     1.191E-014     0.000E+000     1.123E-013     0.000E+000     8.231E-011     8.500E-002
      3.226E+015     3.409E-002     0.000E+000     0.000E+000     4.405E-011     1.508E-014     0.000E+000     1.289E-013     0.000E+000     9.315E-011     8.500E-002
