  ** CALCULATED FRACTIONAL ABUNDANCES (/H2) ** 


   RADIUS         H              RH             GH             H+             H-             GH2            H2+            RH2            H3+            He          
      1.020E+014     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     0.000E+000     8.500E-002
      1.093E+014     7.784E-001     0.000E+000     0.000E+000     3.844E-009     4.418E-016     0.000E+000     8.551E-017     0.000E+000     1.413E-014     8.500E-002
      1.171E+014     8.225E-001     0.000E+000     0.000E+000     1.982E-010     5.638E-016     0.000E+000     4.742E-017     0.000E+000     9.226E-015     8.500E-002
      1.255E+014     8.077E-001     0.000E+000     0.000E+000     1.279E-011     6.407E-016     0.000E+000     5.624E-017     0.000E+000     1.510E-014     8.500E-002
      1.345E+014     7.888E-001     0.000E+000     0.000E+000     6.249E-012     5.626E-016     0.000E+000     7.006E-017     0.000E+000     2.482E-014     8.500E-002
      1.441E+014     7.715E-001     0.000E+000     0.000E+000     6.216E-012     4.929E-016     0.000E+000     8.618E-017     0.000E+000     3.606E-014     8.500E-002
      1.544E+014     7.559E-001     0.000E+000     0.000E+000     6.661E-012     5.649E-016     0.000E+000     1.048E-016     0.000E+000     4.841E-014     8.500E-002
      1.654E+014     7.418E-001     0.000E+000     0.000E+000     7.167E-012     7.418E-016     0.000E+000     1.263E-016     0.000E+000     6.323E-014     8.500E-002
      1.773E+014     7.287E-001     0.000E+000     0.000E+000     7.654E-012     9.129E-016     0.000E+000     1.512E-016     0.000E+000     8.193E-014     8.500E-002
      1.899E+014     7.166E-001     0.000E+000     0.000E+000     8.098E-012     1.033E-015     0.000E+000     1.802E-016     0.000E+000     1.051E-013     8.500E-002
      2.035E+014     7.054E-001     0.000E+000     0.000E+000     8.462E-012     1.062E-015     0.000E+000     2.138E-016     0.000E+000     1.330E-013     8.500E-002
      2.181E+014     6.949E-001     0.000E+000     0.000E+000     8.675E-012     1.167E-015     0.000E+000     2.527E-016     0.000E+000     1.649E-013     8.500E-002
      2.337E+014     6.851E-001     0.000E+000     0.000E+000     8.640E-012     1.260E-015     0.000E+000     2.979E-016     0.000E+000     2.006E-013     8.500E-002
      2.504E+014     6.761E-001     0.000E+000     0.000E+000     8.345E-012     1.339E-015     0.000E+000     3.501E-016     0.000E+000     2.391E-013     8.500E-002
      2.683E+014     6.678E-001     0.000E+000     0.000E+000     7.925E-012     1.406E-015     0.000E+000     4.104E-016     0.000E+000     2.795E-013     8.500E-002
      2.875E+014     6.598E-001     0.000E+000     0.000E+000     4.518E-012     1.461E-015     0.000E+000     4.803E-016     0.000E+000     2.686E-013     8.500E-002
      3.080E+014     6.525E-001     0.000E+000     0.000E+000     4.276E-012     1.507E-015     0.000E+000     5.611E-016     0.000E+000     2.967E-013     8.500E-002
      3.301E+014     6.460E-001     0.000E+000     0.000E+000     4.497E-012     1.546E-015     0.000E+000     6.541E-016     0.000E+000     3.394E-013     8.500E-002
      3.537E+014     6.400E-001     0.000E+000     0.000E+000     4.882E-012     1.578E-015     0.000E+000     7.612E-016     0.000E+000     3.918E-013     8.500E-002
      3.790E+014     6.347E-001     0.000E+000     0.000E+000     5.371E-012     1.602E-015     0.000E+000     8.845E-016     0.000E+000     4.532E-013     8.500E-002
      4.061E+014     6.298E-001     0.000E+000     0.000E+000     5.946E-012     1.617E-015     0.000E+000     1.026E-015     0.000E+000     5.240E-013     8.500E-002
      4.351E+014     6.254E-001     0.000E+000     0.000E+000     6.606E-012     1.625E-015     0.000E+000     1.190E-015     0.000E+000     6.050E-013     8.500E-002
      4.662E+014     6.215E-001     0.000E+000     0.000E+000     7.355E-012     1.624E-015     0.000E+000     1.378E-015     0.000E+000     6.974E-013     8.500E-002
      4.996E+014     6.179E-001     0.000E+000     0.000E+000     8.200E-012     1.617E-015     0.000E+000     1.594E-015     0.000E+000     8.025E-013     8.500E-002
      5.353E+014     6.146E-001     0.000E+000     0.000E+000     9.150E-012     1.605E-015     0.000E+000     1.842E-015     0.000E+000     9.220E-013     8.500E-002
      5.736E+014     6.117E-001     0.000E+000     0.000E+000     1.022E-011     1.588E-015     0.000E+000     2.128E-015     0.000E+000     1.058E-012     8.500E-002
      6.146E+014     6.090E-001     0.000E+000     0.000E+000     1.142E-011     1.551E-015     0.000E+000     2.457E-015     0.000E+000     1.211E-012     8.500E-002
      6.586E+014     6.066E-001     0.000E+000     0.000E+000     1.276E-011     1.519E-015     0.000E+000     2.835E-015     0.000E+000     1.386E-012     8.500E-002
      7.057E+014     6.044E-001     0.000E+000     0.000E+000     1.427E-011     1.496E-015     0.000E+000     3.269E-015     0.000E+000     1.584E-012     8.500E-002
      7.561E+014     6.024E-001     0.000E+000     0.000E+000     1.596E-011     1.478E-015     0.000E+000     3.769E-015     0.000E+000     1.807E-012     8.500E-002
      8.102E+014     6.006E-001     0.000E+000     0.000E+000     1.785E-011     1.466E-015     0.000E+000     4.343E-015     0.000E+000     2.061E-012     8.500E-002
      8.682E+014     5.989E-001     0.000E+000     0.000E+000     1.997E-011     1.462E-015     0.000E+000     5.002E-015     0.000E+000     2.348E-012     8.500E-002
      9.303E+014     5.974E-001     0.000E+000     0.000E+000     2.235E-011     1.470E-015     0.000E+000     5.760E-015     0.000E+000     2.672E-012     8.500E-002
      9.968E+014     5.960E-001     0.000E+000     0.000E+000     2.502E-011     1.496E-015     0.000E+000     6.631E-015     0.000E+000     3.039E-012     8.500E-002
      1.068E+015     5.948E-001     0.000E+000     0.000E+000     2.801E-011     1.546E-015     0.000E+000     7.632E-015     0.000E+000     3.454E-012     8.500E-002
      1.144E+015     5.937E-001     0.000E+000     0.000E+000     3.137E-011     1.629E-015     0.000E+000     8.782E-015     0.000E+000     3.923E-012     8.500E-002
      1.226E+015     5.927E-001     0.000E+000     0.000E+000     3.513E-011     1.756E-015     0.000E+000     1.010E-014     0.000E+000     4.453E-012     8.500E-002
      1.314E+015     5.917E-001     0.000E+000     0.000E+000     3.936E-011     1.938E-015     0.000E+000     1.162E-014     0.000E+000     5.052E-012     8.500E-002
      1.408E+015     5.909E-001     0.000E+000     0.000E+000     4.411E-011     2.188E-015     0.000E+000     1.336E-014     0.000E+000     5.728E-012     8.500E-002
      1.509E+015     5.901E-001     0.000E+000     0.000E+000     4.945E-011     2.518E-015     0.000E+000     1.537E-014     0.000E+000     6.492E-012     8.500E-002
      1.617E+015     5.894E-001     0.000E+000     0.000E+000     5.547E-011     2.947E-015     0.000E+000     1.766E-014     0.000E+000     7.354E-012     8.500E-002
      1.732E+015     5.888E-001     0.000E+000     0.000E+000     6.225E-011     3.497E-015     0.000E+000     2.031E-014     0.000E+000     8.328E-012     8.500E-002
      1.856E+015     5.882E-001     0.000E+000     0.000E+000     6.992E-011     4.201E-015     0.000E+000     2.334E-014     0.000E+000     9.427E-012     8.500E-002
      1.989E+015     5.877E-001     0.000E+000     0.000E+000     7.862E-011     5.108E-015     0.000E+000     2.682E-014     0.000E+000     1.067E-011     8.500E-002
      2.131E+015     5.872E-001     0.000E+000     0.000E+000     8.851E-011     6.291E-015     0.000E+000     3.083E-014     0.000E+000     1.207E-011     8.500E-002
      2.283E+015     5.867E-001     0.000E+000     0.000E+000     9.981E-011     7.850E-015     0.000E+000     3.542E-014     0.000E+000     1.365E-011     8.500E-002
      2.447E+015     5.864E-001     0.000E+000     0.000E+000     1.128E-010     9.927E-015     0.000E+000     4.070E-014     0.000E+000     1.542E-011     8.500E-002
      2.622E+015     5.860E-001     0.000E+000     0.000E+000     1.278E-010     1.271E-014     0.000E+000     4.676E-014     0.000E+000     1.742E-011     8.500E-002
      2.809E+015     5.857E-001     0.000E+000     0.000E+000     1.452E-010     1.645E-014     0.000E+000     5.372E-014     0.000E+000     1.966E-011     8.500E-002
      3.010E+015     5.854E-001     0.000E+000     0.000E+000     1.657E-010     2.144E-014     0.000E+000     6.171E-014     0.000E+000     2.214E-011     8.500E-002
      3.226E+015     5.851E-001     0.000E+000     0.000E+000     1.900E-010     2.802E-014     0.000E+000     7.089E-014     0.000E+000     2.489E-011     8.500E-002
      3.456E+015     5.848E-001     0.000E+000     0.000E+000     2.192E-010     3.656E-014     0.000E+000     8.143E-014     0.000E+000     2.790E-011     8.500E-002
      3.703E+015     5.846E-001     0.000E+000     0.000E+000     2.548E-010     4.739E-014     0.000E+000     9.353E-014     0.000E+000     3.114E-011     8.500E-002
      3.968E+015     5.844E-001     0.000E+000     0.000E+000     2.990E-010     6.082E-014     0.000E+000     1.074E-013     0.000E+000     3.460E-011     8.500E-002
      4.252E+015     5.842E-001     0.000E+000     0.000E+000     3.550E-010     7.702E-014     0.000E+000     1.234E-013     0.000E+000     3.822E-011     8.500E-002
      4.556E+015     5.841E-001     0.000E+000     0.000E+000     4.278E-010     9.522E-014     0.000E+000     1.417E-013     0.000E+000     4.195E-011     8.500E-002
      4.882E+015     5.839E-001     0.000E+000     0.000E+000     5.253E-010     1.172E-013     0.000E+000     1.628E-013     0.000E+000     4.572E-011     8.500E-002
